idx,English,Darija,MSA
4449,Do you have a rental or transportation service?,واش عندكم خدمات ديال الكرا ولا النقل؟,هل لديكم خدمة استئجار أو نقل ؟
4450,Maybe I'll give you a better answer than that after two presentations.,يمكن لي نعطيك إجابات أحسن لهادشي من بعد العروض الجايين.,ربما أعطيك إجابة أفضل من تلك بعد عرضين .
4451,I want a gift for my anniversary.,بغيت هدية ديال ذكرى سنوية.,أريد هدية بمناسبة الذكرى السنوية .
4452,There is no soap in the bathroom.,مكاينش الصابون فالحمام.,لا توجد صابونة في الحمام .
4455,I prefer it to be automatic.,كنفضل الأوطوماتيك.,أفضل أن تكون أوتوماتيك .
4457,"Six ten-dollar bills, eight one-dollar bills, and the rest are quarters.",ستات الورقات ديال عشر، تمنيا ديال دولار واحد، و اللي بقا عطيه ليا على ربعة.,ستة فواتير بقيمة عشرة دولارات وثمانية فواتير بقيمة دولارا واحدا والباقي أرباعا .
4458,Take the bus from outside.,خود الطوبيس غير من على برا.,خذ الحافلة من الخارج .
4459,It's yours.,راه ديالك.,إنها ملكك .
4460,"I would like white bread, please.",غادي ناخد الخبز الأبيض، عافاك.,أريد خبزا أبيض ، من فضلك .
4461,Where is the bathroom?,فين هي طواليط؟,أين دورة المياه ؟
4464,What musicals are currently showing?,اينا مسرحيات موسيقية كاينين دابا؟,ما هي المسرحيات الموسيقية المعروضة حاليا ؟
4465,Thank you for what you provided today.,شكرا ليك على اليوم.,شكرا لك لما قدمته اليوم .
4467,Do you have a public phone?,واش عندك شي تيلفون عمومي؟,هل لديكم تليفون عام ؟
4468,He'll be there in a minute.,غادي يكون تماك من دابا دقيقة.,سوف يكون هناك في دقيقة .
4471,About one thousand five hundred Australian dollars and fifty thousand yen.,تقريبا الف و خمس مية دولار استرالي و خمسين الف ين.,حوالي ألف وخمسمائة دولار استرالي وخمسين ألف ين .
4472,Is there a doctor here?,واش كاين شي طبيب هنا؟,هل يوجد طبيب هنا ؟
4473,Is it okay for me to take a flight like this?,واش هانية نمشي في رحلة بحال هادي؟,هل من المناسب أن استقل رحلة مثل تلك ؟
4474,My reservation number is twenty-six seventy-nine.,رقم الحجز ديالي هو ستة وعشرين تسعود وسبعين.,رقم حجزي هو ستة وعشرون تسعة وسبعون .
4475,Do you have a mirror?,واش عندك شي مراية؟,هل لديك مرآة ؟
4477,I want to take the next flight to Boston.,بغيت ناخد الرحلة الجاية لبوسطن.,أريد أن استقل الرحلة التالية إلى بوسطن .
4478,"Sorry, but I lost my way. Can you help me?",سمحلي، ولكن راه تلفت، واش يمكن ليك تعاوني؟,عذرا ، ولكني ضللك طريقي . هل لك أن تساعدني ؟
4479,"I'll take this, please.",غادي ناخد هادي، عافاك.,سوف آخذ هذه ، من فضلك .
4481,"This is the standard price menu, please.",هاد الوجبة الثابتة، عافاك.,هذه هي قائمة الطعام الموحد السعر ، من فضلك .
4485,indeed . Please stay here. I'll go and get a taxi.,واخا، عافاك بقى هنا. غادي نمشي نشوف شي طاكسي.,وهو كذلك . من فضلك امكث هنا . سأذهب وأحضر سيارة أجرة .
4486,Please give me a chocolate chip cookie.,عافاك عطيني كوكيز ديال الشكلاط.,من فضلك أعطني رقائق الشكولاته كوكي .
4487,I'm in my early thirties.,انا فلول ديال تلاتينات.,أنا في أوائل الثلاثينات .
4488,I want to buy lipstick. I want pink.,بغيت نشري العكر، و يكون اللون ديالو في الغوز.,أريد شراء أحمر شفاه . أريد اللون الوردي .
4489,This caused no problems at all.,ما كان حتى مشكل فمرة.,لم يسبب هذا مشاكل على الإطلاق .
4490,Wait here until I come back.,ساين هنا حتى نرجع.,انتظر هنا حتى أعود .
4494,Please tell Mr. Thomas that I am staying at the Hilton Hotel.,عافاك قول لسي طوماس انا كاين في الأوطيل ديال هيلطون.,من فضلك أخبر السيد توماس أنني أقيم في فندق الهليتون .
4496,Where are the nearest used clothing markets?,فين كاين اقرب سوق ديال الدبان؟,أين أقرب أسواق الملابس المستعملة ؟
4497,You cannot bring fireworks into Canada.,مايمكنش ليك تجيب الألعاب النارية لكندا.,لا يمكنك جلب الألعاب النارية إلى كندا .
4498,no . You should buy a souvenir from that vending machine.,لا، خاصك تشري واحد البياسة من داك الماكينة.,لا . عليك أن تشتري تذكار من آلة البيع تلك .
4501,What a wonderful cook your wife is.,مراتك طباخة مزيانة.,ما أروع زوجتك من طاهية .
4503,Do you need any help ?,واش محتاج لشي مساعدة؟,هل تريد أي مساعدة ؟
4504,Is this the new course?,واش هاداك جديد هاد الموسم؟,هل هذه هي الدورة الجديدة ؟
4505,"Could you book me a taxi for six o'clock tomorrow morning, please?",واش يمكن ليك تحجز لي شي طاكسي غدا مع الستة ديال الصباح، عافاك؟,"هلا حجزت لي تاكسي الساعة السادسة صباح غد , من فضلك ؟"
4510,What do you prefer with your main dish?,شنو تبغي في المقبلات ديالك؟,ماذا تفضل مع طبقك الرئيسي .
4511,"Sorry, but I feel tired.",سمح ليا، ولكن كا نحس براسي مريض.,عفواً ، ولكني أشعر بالإعياء .
4512,I would like to confirm the price.,بغيت نأكد المعدل.,أود أن أؤكد على السعر .
4514,"If I want to make an international call from my room, will there be additional fees?",إيلا درت اتصال دولي من الغرفة ديالي، واش غادي تكون شي تكلفة زايدة؟,إذا رغبت في إجراء مكالمة دولية من غرفتي ، هل ستكون هناك رسوم إضافية ؟
4515,I think so .,كا نظن بلي اه.,أعتقد ذلك .
4516,I would like to call this number. Can you help me ?,بغيت ندوز هاد النمرة. واخا تعاوني؟,أود الاتصال بهذا الرقم . هل بإمكانك مساعدتي ؟
4517,Could you tell me about the bus or train going to the city centre?,ممكن تقول ليا إينا طوبيس ولا تران كايمشي لمركز المدينة؟,هلا أخبرتني عن الحافلة أو القطار المتجه إلى وسط المدينة ؟
4520,"I would like to make an international call to Japan, please.",بغيت ندير اتصال دولي لليابان، عافاك.,"أود أن أجرى اتصالاً دولياً لليابان , من فضلك ."
4522,Do I need a jacket? What about a neck strap?,واش خاصاني شي جاكيطة؟ و الكرافاطة؟,هل أحتاج إلى جاكيت ؟ ماذا عن رباط العنق ؟
4523,I want you to do me a favor?,بغيت نطلبك على شي حاجة.,أريد منك أن تسدي إلى معروفاً ؟
4524,It's in the basket near the toaster.,راه في الشبكة حدا المحمصة.,إنها في السلة بالقرب من محمصة الخبز .
4525,I should drink anything that contains alcohol.,ما خاصني نشرب حتى حاجة فيها الكحول.,يجب أن أحتسي أي شيء يحتوى على كحول .
4529,I am preparing for my college entrance exams.,كا نوجد للإمتحانات ديال الدخلة ديال الجامعة ديالي.,إنني أستعد لاختبارات التحاقي بالكلية .
4530,"With cream and sugar, please.",مع الكريمة و السكر، عافاك.,بالقشدة والسكر ، من فضلك .
4531,"It's cold, isn't it?",بارد، ياك؟,إنها باردة ، أليس كذلك ؟
4533,Could you advise me on some interesting places to go for a walk in this city?,ممكن تنصح بشي بلايص زوينين للسياحة في هاد المدينة؟,هلا نصحتني ببعض الأماكن الشيقة للتنزه في هذه المدينة ؟
4534,There is a gambling hall in this city.,كاين واحد الكازينو في المدينة.,يوجد هناك صالة قمار في هذه المدينة .
4535,I'm hungry.,فيا الجوع.,إنني جوعان .
4536,Here's your bill. Cash or credit card?,ها هي الفاتورة ديالك. فلوس ولا البطاقة البنكية؟,إليك فاتورتك . نقداً أم ببطاقة الائتمان ؟
4538,"Would I like whiskey with soda and brandy, please?",ممكن تعطيني الويسكي مع الموناضة و البراندي، عافاك؟,"هل أريد ويسكي مع الصودا والبراندي , من فضلك ."
4539,What is the delivery fee?,بشحال التمن ديال التوصيل؟,ما قيمة رسوم التوصيل ؟
4540,Is there a boutique near here?,كاين شي بوتيك هنايا؟,هل يوجد بوتيك قريب من هنا ؟
4543,I can't swim . I need a life jacket.,ما كا نعرفش نعوم. خاصني سترة النجاة.,لا أستطيع السباحة . أحتاج إلى سترة الإنقاذ .
4545,Two hot dogs so I can walk.,جوج هوت دوغ نديهم معايا.,اثنان من الـ هوت دوج لكي أمشي .
4548,Must leave.,خصني نمشي.,يتعين الرحيل .
4549,"This place is packed, isn't it?",هاد لبلاصة عامرة بالناس، ياك؟,هذا المكان مكتظ بالناسب ، أليس كذلك ؟
4552,I came to get it now.,جيت باش نديه دابا.,جئت للحصول عليها الآن .
4553,Turn right at the corner.,دور على ليمن في القنت.,اتجه يميناً عند الناصية .
4554,"Well, graduation year is your fourth year in college after the first year, then the second, then the third.",ايوا، سينيور هو عامك الرابع من الدراسة الجامعية من بعد طالب السنة الاولى، طالب السنة التانية و طالب السنة التالتة.,حسناً ، سنة التخرج هي عامك الرابع في الكلية بعد الصف الأول ثم الثاني فالثالث .
4555,I want a private lesson.,بغيت ناخد درس خصوصي.,أريد درسا خصوصياً .
4557,Freeze.,جمد.,تجميد .
4558,Sorry . It will be ready in five minutes.,سمح لي. غادي يكونو واجدين في خمسة ديال الدقايق.,عفواً . ستكون جاهزة في غضون خمس دقائق .
4559,When can I come to see him?,في أي وقت خاصني نجي نشوفو؟,متى يمكنني أن أحضر لكي أراه ؟
4560,Do you have a wine list?,واش عندكم شي لائحة ديال النبيذ؟,هل لديك قائمة نبيذ ؟
4563,My foot hurts .,رجلي كا ضرني.,قدمي تؤلمني .
4564,"The best one. This, please.",عجبني. هادا، عافاك.,"أفضلها . هذه , من فضلك ."
4566,"They also have a huge collection of Shakespeare's plays, right?",و عندهم حتى مجموعة ديال مسرحيات شيكسبير، ياك؟,لديهم أيضا مجموعة ضخمة من مسرحيات شكسبير ، أليس كذلك ؟
4567,When will the World Cup be held?,وقتاش كاس العالام؟,متى سيقام كأس العالم ؟
4571,I am pleased with your presence.,انا فرحان حيت قدرتي تجي.,إنني مسرور لحضورك .
4572,"Garcon, please.",سرباي، عافاك.,جارسون ، من فضلك .
4573,I would like to book a pontoon boat.,بغيت نحجز فلوكة.,أود أن أحجز قارب عوم .
4575,Do you have any ideas on how to style my hair?,عندك شي أفكار على شي قصات شعر يجيو معايا؟,هل لديك أي أفكار عن طريقة لتصفيف شعري ؟
4587,Do you have a map of this area?,واش عندك شي خريطة ديال المدينة لهاد البلاصة؟,هل لديك خريطة لهذه المنطقة ؟
4588,I had neck pain while I was sleeping?,جاني تشنج في عنقي باش كنت ناعس.,عانيت من ألم في الرقبة أثناء نومي ؟
4589,"Do you want a small, medium, or large plate of fried foods?",واش بغيتي فريت صغير، متوسط و لا كبير؟,هل ترغب في طبق صغير أم متوسط أم كبير من الأطعمة المقلية .
4590,Where are the most lively areas in this carnival?,فين هي اكتر بلاصة حيوية فهاد الكرنڤال؟,أين أكثر المناطق حيوية في هذا الكارنفال ؟
4592,Is there a mailbox near here?,واش كاين شي علبة بريد في هاد الجوايه؟,هل يوجد صندوق بريد قريب من هنا .
4594,Yes No problem . May I see your passport?,واخا، ما كاين حتى مشكل. ممكن نشوف جواز السفر ديالك؟,نعم ، لا توجد مشكلة . هل من الممكن أن أرى جواز سفرك ؟
4596,"Oh, that's very kind of you. Can I open it?",اوه، هادا لطف كبير منك. نقدر نحلها؟,أوه ، إنه لطف منك . هل بإمكاني فتحها ؟
4597,Go up the slope. You will come across a road with three intersections. Then turn left.,طلع في المنحدر. غادي تخرج في طريق مقسومة على تلاتة . من بعد دور على ليصر.,اصعد إلى المنحدر . سيصادفك طريق من ثلاثة مفارق . ثم اتجه إلى اليسار .
4598,Can I see the detailed statement?,ممكن نشوف التقرير المفصل؟,هل يمكنني أن أرى البيان المفصل ؟
4599,"I would like a thirty-six-shot film, please.",بغيت شريط ديال ستة و تلاتين صورة، عافاك.,"أريد فيلم يصور ستة وثلاثين صورة , من فضلك ."
4602,They will tell you which bus to take.,غادي يقلول ليك الطوبيس لي خصك تشد.,سيخبرونك عن الحافلة التي يجب أن تأخذها .
4603,"I'm sure. This way, please.",معلوم. من هنا، عافاك.,متأكدة . هذا الطريق ، من فضلك .
4604,I'll have linguine pasta.,غادي ناخد لينجوين.,سأتناول مكرونة لينجوين .
4606,Make it a paid call by the recipient.,دير مكالمة على حساب المتلقى.,اجعلها مكالمة مدفوعة من قبل المتلقي .
4607,"I rarely talk. However, speaking and understanding are two different things. For example, I know the word ""foreigner,"" but I cannot tell which line is designated for foreigners.","كنهضر شويا. ولكن الهضرة والفهاما مختالفين. على سبيل المثال، أنا كنعرف كلمة ""أجنبي""، ولكن منقدرش نقول إينا خط ديال لأجانب.","قلما أتحدث . بيد أن التحدث والفهم شيئان مختلفان . على سبيل المثال ، أعرف كلمة "" أجنبي "" ، غير أنني لا أستطيع أن أخبر عن الخط المخصص للأجانب ."
4609,"Well, do you only have one ticket for adults?",واخا. واش عندك غير تدكرة ديال الكبار وحدة صافي؟,"حسنا , هل لديك تذكرة واحدة فقط للبالغين ."
4611,Take one tablet with a glass of water.,تاخذ قرص واحد مع كاس ديال الما.,تناول قرصا واحدا مع كوب من المياه .
4612,how is your family ?,كدايرين عائلتك؟,كيف حال أسرتك ؟
4614,"Well, you'll get one hundred and sixty dollars.",مزيان. غادي تاخد مائة وستين دولار.,حسناً ، ستحصل على مائة وستون دولاراً .
4615,I don't have any money.,ماعنديش الفلوس.,لا امتلك أي نقود .
4616,Where are the children's books?,فين كاينين الكتوبا ديال الولاد صغار؟,أين كتب الأطفال ؟
4617,There is no phone booth near here.,ماكاين حتا شي كشك ديال الهاتف هنا.,لا يوجد كشك تليفون بالقرب من هنا .
4619,"Well, about a fifteen minute walk.",تقريبا خمسين دقيقة على الرجلين .,حسناً ، حوالي خمسة عشرة دقيقة سيراً على الأقدام .
4620,Can you pick me up at Boston station?,عافاك واخا توصلني لمحطة بوسطن؟,هل يمكنك أن تأخذني من عند محطة بوسطن ؟
4621,"Yes, she is here. Who's speaking, please?",اه . راها لداخل. شكون معايا عافاك؟,نعم ، هي هنا . من يتكلم ، من فضلك ؟
4624,When should I be at the station?,إيمتا خصني نكون فالمحطة؟,متى يتعين علي أن أكون في المحطة ؟
4630,There are many restaurants near here.,كاينين بزاف ديال المطاعم هنا .,هناك مطاعم كثيرة قريبة من هنا .
4631,What is the temperature now?,شحال الحرارة دابا؟,ما هي درجة الحرارة الآن ؟
4632,My pocket was holed.,تختار جيبي .,كان جيبي مثقوباً .
4633,A lot of it is work and a lot of it is hiking.,أساسا عمل و شويا سياحة.,كثيرها عمل وقليلها تنزه .
4634,Do you have a car wash place?,واش عندك غسالة السيارات؟,هل لديك مكان لغسيل السيارات ؟
4635,Next to the deposit room.,راه حدا بيت الامانات.,بجوار حجرة الإيداع .
4636,Put your money into what benefits you.,حط فلوسك حدا فمك.,ضع نقودك فيما يفيدك .
4637,Please register my name.,عافاك كتب ليا.,من فضلك سجل اسمي .
4638,Where should I put this?,فين نحط هادي؟,في أي مكان يتعين علي أن أضع هذا ؟
4639,Could you please point me to some interesting places that I can visit?,توريني شي بلايص زوينين نمشي ليهم ؟,هلا أشرت علي ببعض الأماكن الشيقة التي يمكنني أن أقوم بزيارتها ؟
4640,It is a pleasure to talk to you.,فرحت بالهضرة معاك .,إنه لمن دواعي السرور أن أتحدث معك .
4643,Hello Carol Brown speaking. Can I talk to Susan?,سالام. انا كارول براون كيهضر. نقدر نهضر مع سوزان؟,أهلا كارول براون يتحدث . هل يمكنني أن أتحدث إلى سوزان ؟
4644,Is there an afternoon tour?,واش كاين شي رحلة مورا الضوهر؟,هل هناك جولة بعد الظهر ؟
4645,"First, take the Chu line. Where should I change trains?",فالأول غا دي ناخد خط تشيو. ومنين خصني نبدل ترانات؟,أولا ، اسلك خط تشو . وفى أي مكان يتعين علي أي أغير القطارات ؟
4646,You have passed the station. What I do ?,فت فين خصني نوقف. شنو خصني ندير دابا؟,لقد تجاوزت المحطة . ماذا أعمل ؟
4647,When will the plane leave?,إينا وقت كاتمشي الرحلة؟,متى ستغادر الطائرة ؟
4648,I am with my friends.,أنا مع صحابي.,إنني مع أصدقائي .
4649,Do you have a room with a great view?,واش عندكم غرفة بمنظر زوين؟,هل لديك حجرة تطل على منظر رائع ؟
4650,Could you tell me how to get to the post office?,واخا توريني الطريق للبريد؟,هلا أخبرتني كيف الطريق إلى مكتب البريد ؟
4653,I enjoyed my stay. Thank you .,استمتعت هنايا بوقتي، شكراً.,لقد تمتعت بإقامتي . شكراً لك .
4654,The beach is below right. What a wonderful view.,البحر كايبان لتحت. منظر واعر.,الشاطئ أسفل يمينا . ياله من منظر رائع .
4656,I want binoculars.,بغيت نظارة مكبرة.,أريد منظارا .
4657,Please take a photo of the building from the back.,عافاك شد المبنى لي اللور في التصويرة.,من فضلك التقط صورة للمبنى من الخلف .
4658,"Thank you for waiting, Professor McGuire. Here it is. Please go ahead.",شكراً حيت تسنيتي، أ سيدة ماكوير. ها هو. تفضلي، عافاكي.,شكراً لك على الانتظار ، يا أستاذه مكجوير . هاك هو . امض من فضلك .
4661,Do you have any Japanese newspapers?,واش عندك شي جرائد يابانية؟,هل لديكم أي صحف يابانية ؟
4662,Do you have any photo ID?,واش عندك تعريف ديال التصويرة؟,هل لديك أي صورة لبطاقة هوية ؟
4663,I think a large box will have a fairly high price.,كا نظن بلي صندوق كبير غادي يكون غالي.,أعتقد أن صندوقا كبيرا سيكون سعره مرتفعا إلى حد ما .
4664,"Good evening, I want to apply for a visa to enter your country.",مساء الخير. بغيت ندفع للڤيزا لبلادكم.,مساء الخير ، أريد أن أقدم طلبا للحصول على تأشيرة دخول بلادكم .
4666,It is very loose.,واسعين.,إنها فضفاضة للغاية .
4667,"Airmail? Let us know, this will probably cost one hundred and eighty dollars.",بريد بالطيارة؟ أنشوفو، غادي تجي مية و تمانين دولار.,"بريد جوى ؟ دعنا أن نعرف , من المحتمل أن يتكلف هذا مائة وثمانون دولارا ."
4671,"Seven, please.",سبعة، عافاك.,سبعاً ، من فضلك .
4673,I'm in so much pain.,أنا مضرور بزاف.,أتألم بشدة .
4674,I want to send this to the dry cleaners. When will it be ready?,بغيت نرسل هادا للمصبانا، وقتاش ايكون واجد؟,أريد أن أرسل هذا إلى المغسلة . متى ستكون جاهزة ؟
4675,"Hello, long time no see.",السلام، من شحال هادي ماتشاوفنا.,مرحباً ، لم أراك منذ فترة طويلة .
4677,can I enter ?,ممكن ندخل؟,هل يمكنني الدخول ؟
4678,I have tourism insurance.,عندي التأمين ديال المسافر.,لدى تأمين سياحي .
4679,Mostly Europe.,غالباً أوروبا.,غالباً أوربا .
4681,Is the American bullet train good?,واش دفعتي فاتورة الفندق؟,هل القطار السريع الأمريكي جيد ؟
4682,Have you paid your hotel bill?,واش خلصتي الفاتورة ديال الفندق بعدا؟,هل دفعت فاتورة إقامتك في الفندق ؟
4683,The toilet appears to be clogged.,المرحاض مخنوق.,يبدو أن المرحاض مسدود .
4684,I would like to deposit this into my account.,بغيت ندخل هادي للحساب ديالي.,أود أن أودع هذا في حسابي .
4685,I took off the pants.,عندي سروال مخطط.,لقد خلعت البنطلون .
4686,Does this include meals?,واش هادي داخلة فيها حتى الوجبات؟,هل هذا يشمل الوجبات ؟
4689,"Sit down, please .",جلس، عافاك.,"اجلس , من فضلك ."
4690,I will leave on Friday the twenty-ninth and will return on Sunday.,غادي نمشي نهار الجمعة تسعود و عشرين، و غادي نرجع نهار الأحد .,سأغادر يوم الجمعة التاسع والعشرين وسأعود يوم الأحد .
4692,What time is it now in Japan?,شحال فالساعة دابا فاليابان؟,ما الوقت الآن في اليابان ؟
4697,Interesting .,هادشي مزيان.,شيق .
4698,"If you require one day service, an additional fifty percent fee will be added to your bill. Is this good ?",إيلا بغيتي الخدمة ليوم واحد، الثمن الإضافي غايتزاد بنسبة خمسين فالمائة، واش مزيان بالنسبة ليك؟,"إذا أردت خدمة يوم واحد , فستضاف رسوم إضافية بنسبة خمسون في المائة إلى فاتورتك . هل هذا جيد ؟"
4699,"Yes . Someone else's luggage has just been moved to my room. Please, is it possible for you to check it?",آه، الأمتعة ديال شخص ٱخر وصلوهم للغرفة ديالي دابا، واش ممكن تشوف منين الخطأ؟,نعم . تم نقل أمتعة شخص آخر إلى غرفتي تواً . من فضلك ، هل من الممكن أن تقوم بفحصها ؟
4700,We will take the middle three seats in this row.,غادي ناخدو تلاتة ديال لكراسا لي فالوسط لهاد الصف.,سنأخذ المقاعد الثلاثة الوسطى في هذا الصف .
4701,Do you have any suggestions?,واش عندك شي اقتراحات؟,هل لديك أية مقترحات ؟
4702,I hear you .,كانسمعك.,أنا أسمعك .
4707,"We don't have them in stock, we can order them for you.",ماعندناش دابا فالمخزون، و لكن نقدرو نطلبوها ليك.,ليس لدينا منها في المخزن ، يمكننا أن نطلبها لك .
4710,"Can I see this one, please?",تقدر توريني هاديك، الله يخليك؟,"هل يمكنني أن أرى هذه الواحدة , من فضلك ."
4713,Put it in one of the large bags in the dressing room. Please submit a cleaning request for the items you would like to be cleaned.,حطو فشي صاك من الصيكان الكبيرة في الماريو ديال الملابس. عافاك، عمر الاستمارة ديال طلب التنظيف بالحوايج ديالك ال بغيتي تنظفها.,ضعها في إحدى الحقائب الكبيرة في غرفة الملابس . من فضلك قدم طلب التنظيف بخصوص الأشياء التي ترغب في أن يتم تنظيفها .
4714,Is it possible to elaborate more?,ممكن تشرح أكثر، بتفاصيل أكثر عافاك؟,هل من الممكن أن تفصل أكثر ؟
4715,I work on television.,خدام فالتلفازة.,إنني أعمل بالتليفزيون .
4716,Can I start the journey with this ticket?,واش نقدر نخرج بهاد البطاقة؟,هل بإمكاني أن ابدأ الرحلة بهذه التذكرة ؟
4718,Which one lasts longer?,شكون لي غادي تاخد وقت أكثر؟,أيهما تدوم أكثر ؟
4721,How much did you pay for it?,بشحال شريتيها؟,كم دفعت فيها ؟
4728,I am lucky to know you.,راني محظوظ بمعرفتك.,إنني محظوظ لمعرفتك .
4729,Did you rest in your sleep?,واش نعستي مزيان؟,هل استرحت في نومك ؟
4730,There is a Mickey Mouse sticker on it.,"هادي فيها لصاقة ""ميكي ماوس"".",هناك ملصق ميكي ماوس عليها .
4731,Can I see something else?,واش تقدر توريني حاجة خرا؟,هل يمكنني أن أرى شيئاً آخر ؟
4732,that is great .,هادشي مزيان.,هذا عظيم .
4733,Would you press the window shutter button?,واش ممكن تضغط على زر الكاميرا؟,هلا ضغطت على زر مصراع النافذة ؟
4734,We want a room overlooking the beach.,بغينا الغرفة تكون كاتطل على الماء.,نريد غرفة تطل على الشاطئ .
4736,Good . I do not know what to say .,المهم، ماعرفتش كيفاش نقولها.,حسناً . لا أعرف ماذا أقول .
4738,Are there any other flights available today? I have to be in Los Angeles this evening.,واش كاينة شي طائرة اليوم؟ حيت خاصني نكون في لوس أنجلوس هاد العشية.,هل توجد هناك أية رحلات طيران أخرى متوفرة اليوم ؟ لا بد أن أكون في لوس أنجلوس مساء اليوم .
4740,Two keys please?,جوج مفاتيح الله يخليك.,مفتاحين من فضلك ؟
4742,I want a lamp.,بغيت مصباح.,أريد مصباحاً .
4743,"I don't think this is impossible. We know this is important, and we will be ready to look into it as soon as we have a reasonable marketing plan for you.",ماكانضنش بلي مستحيل، حنا عارفين بلي هادشي مهم و غادي نناقشو الموضوع منين تجيب لينا المخطط التجاري ديالك.,لا أعتقد أن هذا مستحيل . إننا نعرف أن هذا أمر مهم ، وسنكون مستعدين لبحثه بمجرد أن يكون لدينا خطة تسويقكم المعقولة .
4744,At the end of the corridor.,هادي النهاية ديال الرواق.,في نهاية الممر .
4747,Which areas of Canada are you from?,من إينا بلاصة فكندا نتا؟,من أي المناطق في كندا أنت ؟
4748,"The weather is very hot, today let's go swimming, shall we?",اليوم الحرارة مرتفعة، يالاه نمشيو نعومو؟,"إن الطقس حار للغاية , اليوم فلنذهب للسباحة , هل سنعمل ذلك ؟"
4749,My pores are large and prominent.,المسام ديالي واسعين بزاف.,مسامي كبيرة وبارزة .
4750,I want to repair my watch.,خاص هاد الساعة تصلح.,أريد إصلاح ساعتي .
4752,Is there any bus going to the city after the match?,واش غادي تكون حافلة للمدينة من بعد المباراة؟,هل يوجد هناك أية حافلة تتجه إلى المدينة عقب المباراة ؟
4754,I would like to add this to my room fee.,بغيت هادي تزاد على رسوم الغرفة.,أود إضافة هذا إلى رسوم غرفتي .
4756,"No, I didn't go to New York.",لا، مامشيتش لنيو يورك.,"لا , لم أذهب إلى نيويورك ."
4757,Could you get me a bottle of Sprite?,ممكن تعطيني مشروب؟,هلا أحضرت لي زجاجة سبرايت ؟
4758,I have difficulty losing my friend's features on the road.,خايف لا الصديق ديالي مايقدرش يشوفني.,أعاني من صعوبة في فقدان ملامح صديقي أثناء الطريق .
4760,"Please, could you give me ten dollar bills in exchange for this ten?",ممكن تعطيني عشرة ديال الورقات ديال دولار واحد لهاد العشرة، عافاك؟,من فضلك ، هلا أعطيتني عشر ورقات نقدية قيمة دولار مقابل هذه العشر .
4762,I left the camera in the room.,نسيت الكاميرا ديالي فالغرفة ديالي.,تركت الكاميرا في الغرفة .
4769,I would like to get a camera cover?,بغيت شكارة ديال الكاميرا.,ارغب في الحصول على غلاف للكاميرا ؟
4770,Would you share a snack with me?,واش تمشي تاكل معايا شي ماكلة خفيفة؟,هلاّ شاركتني وجبة خفيفة ؟
4772,When does the movie start?,وقتاش ايبدا الفيلم؟,متى يبدأ الفيلم ؟
4773,I would like to get some letter paper.,بغيت مذكرة.,أرغب في الحصول على بعض ورق الرسائل .
4774,raise your hand .,هزو يديكوم.,ارفع يديك .
4775,"May I have a copy of the police report, please?",تقدر تعطيني نسخة من التقرير ديال الشرطة، عافاك؟,هل لي أن أحصل على نسخة من تقرير الشرطة ، من فضلك ؟
4777,"I think you should go on a diet. You're not doing enough exercise these days, are you?",خاصك تتبع حمية، مابقيتيش كاتمارس الرياضة ياك؟,أعتقد أنه يجب عليك اتباع نظام غذائي . إنك لا تقوم بتمارين رياضية كافية هذه الأيام ، أليس كذلك ؟
4779,"Oh, how we so desire it. Thank you for inviting us.",اه، هادا شرف لينا نجيو، شكرا بزاف حيت عرضتينا.,أوه ، كم نرغب في ذلك جداً . شكراً على دعوتنا .
4780,May I put my luggage here?,نقدر نحط الأمتعة ديالي هنا؟,هل لي أن أضع أمتعتي هنا ؟
4782,Move a little further away from the neck.,شوية من حدا العنق.,أبعد عن العنق شيئاً قليلاً أكثر .
4784,Can we leave our luggage with you while we go shopping?,واش نقدرو نخليو الأمتعة ديالنا عندك بيدما نمشيو نتقداو؟,هل يمكننا ترك أمتعتنا معك ريثما نذهب للتسوق ؟
4785,"Yes, it might rain this afternoon.",اه، تقدر تطيح الشتا هاد العشية.,أجل ، قد تمطر بعد ظهر اليوم .
4786,You are in the Corporate Tax Laws section.,هي الشركة ديال مركز قانون الضرائب.,إنك في قسم قوانين ضرائب الشركات .
4788,Are we going by bus?,واش انمشيو بالطوبيس؟,هل سنذهب بالحافلة ؟
4789,Is there also a snack section?,واش كاين شي سناك بار؟,هل ثمة أيضاً قسم للوجبات الخفيفة ؟
4790,Did you say you were leaving for Tokyo tomorrow?,قلتي بلي غادي تمشي لطوكيو غدا؟,هل قلت إنك ستغادر إلى طوكيو غدا ؟
4793,"certainly . It's from California and fresh, above all else. Since we are bargain sellers, it will be a bargain if you buy it today. One dollar and fifty cents only.",معلوم. راهم من كاليفورنيا و جداد. أولاً. منين حنا كا نتبايعو و نتشاراو في الجوطية، غادي يكون مزيان ليك تشريهم اليوم. دولار و خمسين سنت للوحدة فقط.,بالتأكيد . إنها من كاليفورنيا وطازجة ، قبل كل شيء . وبما أننا نبيع بطريقة الصفقات ، فسوف تكون صفقة رابحة إذا اشتريتها اليوم . الواحدة بدولار وخمسين سنتاً فقط .
4795,Let me sleep until nine.,خليني ننعس حتى لتسعود.,دعني أنام حتى التاسعة .
4797,"Medium length, please.",الطول المتوسط عافاك.,طول متوسط ، من فضلك .
4799,How do you use it?,كيف كاتدير تستخدمها؟,كيف تستخدمه ؟
